user_loc	fr_loc	scaled_sci
AE	AE	1318515
AE	AG	7764
AE	AL	2836
AE	AM	4174
AE	AO	2954
AE	AR	887
AE	AT	5111
AE	AU	14937
AE	AW	4069
AE	AZ	3983
AE	BA	6483
AE	BB	4221
AE	BD	87354
AE	BE	4911
AE	BF	3677
AE	BG	3032
AE	BH	293962
AE	BI	13610
AE	BJ	5410
AE	BN	41441
AE	BO	769
AE	BR	1272
AE	BS	5680
AE	BT	22094
AE	BW	4759
AE	BY	4298
AE	BZ	2290
AE	CA	15605
AE	CD	3974
AE	CF	9145
AE	CG	5878
AE	CH	7630
AE	CI	4813
AE	CL	677
AE	CM	53946
AE	CO	1578
AE	CR	1520
AE	CV	1677
AE	CW	3293
AE	CY	33118
AE	CZ	2040
AE	DE	5754
AE	DJ	22291
AE	DK	4916
AE	DO	1856
AE	DZ	4062
AE	EC	911
AE	EE	3039
AE	EG	45385
AE	ES	4064
AE	ET	129008
AE	FI	3563
AE	FJ	5263
AE	FR	4561
AE	GA	6792
AE	GB	15131
AE	GD	4495
AE	GE	3612
AE	GF	2022
AE	GH	34537
AE	GM	19821
AE	GN	6952
AE	GP	1622
AE	GQ	19685
AE	GR	15649
AE	GT	661
AE	GU	23907
AE	GW	4148
AE	GY	4391
AE	HK	13920
AE	HN	1544
AE	HR	3578
AE	HT	1878
AE	HU	2550
AE	ID	6310
AE	IE	20571
AE	IM	14493
AE	IN	45022
AE	IS	5263
AE	IT	6910
AE	JE	12148
AE	JM	4733
AE	JO	72179
AE	JP	4183
AE	KE	29505
AE	KG	7298
AE	KH	1812
AE	KI	2222
AE	KM	11691
AE	KR	3777
AE	KW	168985
AE	KY	48474
AE	KZ	2815
AE	LA	1415
AE	LB	90591
AE	LC	3888
AE	LK	90961
AE	LR	14941
AE	LS	2567
AE	LT	2553
AE	LU	8365
AE	LV	3365
AE	LY	8986
AE	MA	15573
AE	MD	3447
AE	ME	7701
AE	MG	3698
AE	MK	7216
AE	ML	4534
AE	MM	1469
AE	MN	1156
AE	MO	28986
AE	MQ	1419
AE	MR	36654
AE	MT	39299
AE	MU	18431
AE	MV	90715
AE	MW	5146
AE	MX	755
AE	MY	18549
AE	MZ	3306
AE	NC	1100
AE	NE	6161
AE	NG	30729
AE	NI	1448
AE	NL	5357
AE	NO	5732
AE	NP	142918
AE	NZ	17222
AE	OM	300267
AE	PA	1622
AE	PE	760
AE	PF	1981
AE	PG	3557
AE	PH	73590
AE	PK	222948
AE	PL	1539
AE	PR	813
AE	PS	46764
AE	PT	6773
AE	PY	2247
AE	QA	339864
AE	RE	1751
AE	RO	4542
AE	RS	9134
AE	RW	13491
AE	SA	175847
AE	SB	3187
AE	SC	73415
AE	SE	7698
AE	SG	39914
AE	SI	3266
AE	SK	2107
AE	SL	37599
AE	SN	5637
AE	SR	2834
AE	ST	1725
AE	SV	1015
AE	SZ	4751
AE	TD	13531
AE	TG	15826
AE	TH	2362
AE	TJ	9127
AE	TL	2219
AE	TN	12464
AE	TO	2289
AE	TR	5164
AE	TT	4764
AE	TW	3224
AE	TZ	10040
AE	UA	3074
AE	UG	198826
AE	US	4256
AE	UY	1120
AE	UZ	7618
AE	VC	3679
AE	VN	1310
AE	VU	1476
AE	WS	3490
AE	XK	2203
AE	YT	5129
AE	ZA	7039
AE	ZM	4926
AE	ZW	22081
AE	NA	6817
AG	AE	7764
AG	AG	939431362
AG	AL	1079
AG	AM	408
AG	AO	5755
AG	AR	1161
AG	AT	4361
AG	AU	4948
AG	AW	176064
AG	AZ	437
AG	BA	698
AG	BB	3117377
AG	BD	795
AG	BE	3342
AG	BF	2724
AG	BG	915
AG	BH	4308
AG	BI	3482
AG	BJ	4965
AG	BN	1330
AG	BO	836
AG	BR	1145
AG	BS	700324
AG	BT	591
AG	BW	13707
AG	BY	680
AG	BZ	253413
AG	CA	81824
AG	CD	3705
AG	CF	2674
AG	CG	7083
AG	CH	9546
AG	CI	4552
AG	CL	2610
AG	CM	5716
AG	CO	2085
AG	CR	5071
AG	CV	9655
AG	CW	295975
AG	CY	7354
AG	CZ	741
AG	DE	2988
AG	DJ	2835
AG	DK	2538
AG	DO	257413
AG	DZ	823
AG	EC	1748
AG	EE	7126
AG	EG	1037
AG	ES	6232
AG	ET	1636
AG	FI	1276
AG	FJ	10870
AG	FR	4542
AG	GA	8945
AG	GB	48621
AG	GD	4534205
AG	GE	1818
AG	GF	286944
AG	GH	16844
AG	GM	14646
AG	GN	3979
AG	GP	1001264
AG	GQ	13416
AG	GR	2080
AG	GT	1199
AG	GU	3964
AG	GW	7413
AG	GY	4835778
AG	HK	1482
AG	HN	2441
AG	HR	1985
AG	HT	70551
AG	HU	1810
AG	ID	548
AG	IE	6622
AG	IM	22300
AG	IN	668
AG	IS	4556
AG	IT	6896
AG	JE	29633
AG	JM	3432720
AG	JO	955
AG	JP	1109
AG	KE	9889
AG	KG	300
AG	KH	312
AG	KI	3016
AG	KM	13109
AG	KR	658
AG	KW	2605
AG	KY	1267800
AG	KZ	286
AG	LA	292
AG	LB	12195
AG	LC	7803663
AG	LK	2265
AG	LR	28201
AG	LS	9788
AG	LT	1078
AG	LU	4366
AG	LV	1449
AG	LY	508
AG	MA	1632
AG	MD	341
AG	ME	2341
AG	MG	1975
AG	MK	3206
AG	ML	3800
AG	MM	121
AG	MN	438
AG	MO	1661
AG	MQ	282940
AG	MR	2665
AG	MT	24423
AG	MU	8413
AG	MV	10317
AG	MW	3664
AG	MX	1302
AG	MY	686
AG	MZ	3791
AG	NC	1314
AG	NE	9605
AG	NG	9234
AG	NI	2106
AG	NL	7893
AG	NO	2660
AG	NP	831
AG	NZ	7399
AG	OM	2135
AG	PA	8226
AG	PE	1144
AG	PF	11960
AG	PG	2792
AG	PH	2698
AG	PK	1224
AG	PL	827
AG	PR	28626
AG	PS	857
AG	PT	2344
AG	PY	1540
AG	QA	5249
AG	RE	3317
AG	RO	1154
AG	RS	3007
AG	RW	2055
AG	SA	1399
AG	SB	4351
AG	SC	43695
AG	SE	4390
AG	SG	2342
AG	SI	1780
AG	SK	762
AG	SL	27443
AG	SN	6330
AG	SR	533515
AG	ST	13615
AG	SV	1265
AG	SZ	5772
AG	TD	2036
AG	TG	8451
AG	TH	249
AG	TJ	476
AG	TL	1090
AG	TN	1033
AG	TO	7251
AG	TR	850
AG	TT	980369
AG	TW	487
AG	TZ	4461
AG	UA	627
AG	UG	7298
AG	US	63813
AG	UY	2276
AG	UZ	305
AG	VC	14256914
AG	VN	245
AG	VU	6908
AG	WS	3520
AG	XK	935
AG	YT	17683
AG	ZA	5030
AG	ZM	7741
AG	ZW	8619
AG	NA	18235
AL	AE	2836
AL	AG	1079
AL	AL	17636900
AL	AM	1167
AL	AO	1052
AL	AR	764
AL	AT	22484
AL	AU	2835
AL	AW	897
AL	AZ	1630
AL	BA	17746
AL	BB	848
AL	BD	640
AL	BE	23540
AL	BF	751
AL	BG	9255
AL	BH	2152
AL	BI	657
AL	BJ	2111
AL	BN	520
AL	BO	506
AL	BR	771
AL	BS	697
AL	BT	414
AL	BW	1001
AL	BY	2766
AL	BZ	1341
AL	CA	6629
AL	CD	592
AL	CF	1144
AL	CG	1038
AL	CH	42777
AL	CI	1029
AL	CL	504
AL	CM	1085
AL	CO	689
AL	CR	864
AL	CV	807
AL	CW	783
AL	CY	16998
AL	CZ	3813
AL	DE	38512
AL	DJ	622
AL	DK	4110
AL	DO	1565
AL	DZ	1327
AL	EC	709
AL	EE	2534
AL	EG	1069
AL	ES	3250
AL	ET	526
AL	FI	5611
AL	FJ	440
AL	FR	11590
AL	GA	826
AL	GB	27315
AL	GD	3321
AL	GE	2603
AL	GF	620
AL	GH	1717
AL	GM	3152
AL	GN	1405
AL	GP	639
AL	GQ	1596
AL	GR	517433
AL	GT	489
AL	GU	371
AL	GW	1100
AL	GY	1005
AL	HK	533
AL	HN	758
AL	HR	26727
AL	HT	710
AL	HU	5410
AL	ID	517
AL	IE	8561
AL	IM	1520
AL	IN	264
AL	IS	21732
AL	IT	108736
AL	JE	1682
AL	JM	1396
AL	JO	1161
AL	JP	272
AL	KE	1821
AL	KG	715
AL	KH	322
AL	KI	259
AL	KM	567
AL	KR	399
AL	KW	1776
AL	KY	2774
