user_loc,fr_loc,scaled_sci,sci_ranked,migrants_from_fr,gdp_diff,population_diff,population_diff_ranked,literacy_dif,internet_diff,hci_diff,distance,trade,trade_ranked
AE,AE,1318515,316,N/A,0,0,31153,N/A,0,0,0.0000949,N/A,N/A
AE,AG,7764,7354,N/A,27112.37554,9673411,17773,N/A,N/A,0.097784281,11701.05026,N/A,N/A
AE,AL,2836,12582,N/A,38554.97617,6916338,20235,N/A,22.97288204,0.047334969,3699.340004,N/A,N/A
AE,AM,4174,10242,N/A,39618.86607,6812798,20365,N/A,30.07503821,0.094275296,1977.306734,N/A,N/A
AE,AO,2954,12294,N/A,40549.70969,22054766,12355,N/A,80.48084318,0.315810293,5799.817372,N/A,N/A
AE,AR,887,22256,N/A,32155.40673,35168183,9119,N/A,20.52501567,0.05863452,13544.49552,N/A,N/A
AE,AT,5111,9258,N/A,7685.69008,893462,28701,N/A,6.88433595,0.092671871,4241.864286,32.14,2209
AE,AU,14937,5078,N/A,13556.56312,15593778,14751,N/A,8.27487369,0.104832709,12080.83392,N/A,N/A
AE,AW,4069,10364,N/A,N/A,9664215,17795,N/A,2.35007746,N/A,12723.0823,N/A,N/A
AE,AZ,3983,10508,N/A,39099.51464,252789,30277,N/A,15.81992254,0.046689093,1817.770661,15.982,2776
AE,BA,6483,8104,N/A,37767.17536,6469529,20793,N/A,29.92790203,0.056736231,3904.500364,N/A,N/A
AE,BB,4221,10186,N/A,26094.16289,9483504,18005,N/A,13.05914415,N/A,11730.66893,N/A,N/A
AE,BD,87354,1536,1044505,42141.00596,153275632,2157,N/A,N/A,0.217447967,3640.147696,N/A,N/A
AE,BE,4911,9454,N/A,3651.96691,1713526,27257,N/A,7.14024172,0.086758494,5155.136506,35.922,2124
AE,BF,3677,10946,N/A,43019.19556,10550849,17099,N/A,78.94371563,0.297717273,6029.38308,N/A,N/A
AE,BG,3032,12132,N/A,34415.79774,2794768,25391,N/A,31.40982116,0.005724013,3490.015245,1.243,5527
AE,BH,293962,776,1906,19848.29967,8129357,19209,N/A,1.05821321,0.012102485,426.2574928,N/A,N/A
AE,BI,13610,5368,N/A,43567.60431,1760051,27167,N/A,92.15917401,0.286426455,4115.579948,N/A,N/A
AE,BJ,5410,8972,N/A,42598.52689,2030622,26637,N/A,80.70091021,0.279050917,5873.501061,N/A,N/A
AE,BN,41441,2524,N/A,12211.02756,9337244,18179,N/A,0.0467691,N/A,6807.177238,N/A,N/A
AE,BO,769,23722,N/A,40290.7662,1742571,27201,N/A,50.98764647,N/A,14009.18847,N/A,N/A
AE,BR,1272,18942,N/A,34838.1221,201278998,1441,N/A,27.34863802,0.130277515,12118.08613,N/A,N/A
AE,BS,5680,8702,N/A,11621.48476,9381047,18121,N/A,9.81992254,N/A,12445.19613,N/A,N/A
AE,BT,22094,3902,N/A,40596.12522,9007437,18463,N/A,N/A,N/A,3535.928603,N/A,N/A
AE,BW,4759,9594,N/A,35559.75499,7466832,19741,N/A,53.4061279,0.263484746,6274.14918,N/A,N/A
AE,BY,4298,10094,N/A,37509.2811,303673,30123,N/A,20.38347713,N/A,3957.575699,0.167,6523
AE,BZ,2290,14090,N/A,38954.62219,9380176,18125,N/A,47.73729674,N/A,13900.60142,N/A,N/A
AE,CA,15605,4928,N/A,2473.81502,27818733,10823,N/A,2.11855063,0.124088704,11095.49353,N/A,N/A
AE,CD,3974,10526,N/A,43282.29193,77020038,4587,N/A,86.20001762,0.311472506,N/A,N/A,N/A
AE,CF,9145,6744,N/A,43363.40274,5025344,22389,N/A,90.4806676,N/A,4431.094176,N/A,N/A
AE,CG,5878,8522,N/A,41615.50187,4390021,23337,N/A,86.16992254,0.258165717,5303.883968,N/A,N/A
AE,CH,7630,7440,N/A,38978.75181,1195697,28153,N/A,5.13377487,0.090106368,4826.211649,N/A,N/A
AE,CI,4813,9544,N/A,41536.7434,15946015,14557,N/A,50.98000169,0.306032896,6633.371803,N/A,N/A
AE,CL,677,24902,N/A,27914.56211,9181509,18313,N/A,12.49243561,0.010736108,14641.07086,N/A,N/A
AE,CM,53946,2112,N/A,42304.86508,16105851,14459,N/A,71.61695057,0.282680571,5129.051001,N/A,N/A
AE,CO,1578,17044,N/A,37120.77103,40568914,8285,N/A,32.56004222,0.077347398,13667.63371,N/A,N/A
AE,CR,1520,17372,N/A,31727.22193,4722968,22841,N/A,23.23825792,0.072742462,14102.56136,N/A,N/A
AE,CV,1677,16530,N/A,40222.02886,9220594,18271,N/A,37.65777619,N/A,8128.183506,N/A,N/A
AE,CW,3293,11606,N/A,24265.4637,9612991,17871,N/A,26.69270629,N/A,N/A,N/A,N/A
AE,CY,33118,2946,N/A,15149.64963,8571954,18845,N/A,14.07673357,0.078615784,2346.72022,21.742,2522
AE,CZ,2040,14902,N/A,20792.40722,899180,28697,N/A,16.10074969,0.08851546,4457.195091,5.672,3666
AE,DE,5754,8626,N/A,3799.64709,73362270,4747,N/A,10.42576884,0.087771535,4637.259452,301.552,772
AE,DJ,22291,3870,N/A,40697.46713,8796969,18625,N/A,39.13851329,N/A,1859.487964,N/A,N/A
AE,DK,4916,9446,N/A,17551.33666,3951976,23933,N/A,2.27943962,0.094830572,4845.042209,432.849,614
AE,DO,1856,15666,N/A,35788.72591,968429,28577,N/A,27.24867721,0.169120968,12311.18916,N/A,N/A
AE,DZ,4062,10386,N/A,39724.64129,33282525,9473,N/A,47.12886739,0.144007325,5044.03604,N/A,N/A
AE,EC,911,22020,N/A,37543.42095,7603133,19643,N/A,N/A,0.079781711,14280.04207,N/A,N/A
AE,EE,3039,12114,N/A,20580.88877,8443939,18971,N/A,6.71746567,0.098124027,4517.672631,1.243,5527
AE,EG,45385,2376,857947,41290.2241,90617544,3805,N/A,49.86971829,0.183488906,2367.840761,N/A,N/A
AE,ES,4064,10374,N/A,13501.67722,37306252,8749,N/A,10.21767684,0.060155153,5629.388805,103.034,1370
AE,ET,129008,1226,10538,43067.83254,102308201,3239,N/A,76.20187109,0.291900665,2380.960729,N/A,N/A
AE,FI,3563,11138,N/A,6181.93471,4250215,23539,N/A,7.35099347,0.138482749,4566.03601,0.941,6021
AE,FJ,5263,9100,N/A,37572.38839,8880576,18559,N/A,44.85354953,N/A,14208.24017,N/A,N/A
AE,FR,4561,9804,17302,2208.26561,57289358,5919,N/A,14.31746282,0.079959035,5244.617323,279.81,808
AE,GA,6792,7902,N/A,35882.72853,7597950,19651,N/A,44.49980239,0.219613374,5529.921,N/A,N/A
AE,GB,15131,5020,27840,796.12853,57063876,5947,N/A,4.39537205,0.100980997,5478.607517,1125.167,297
AE,GD,4495,9892,N/A,33353.44919,9658526,17813,N/A,35.74818718,0.134806335,11986.86221,N/A,N/A
AE,GE,3612,11046,N/A,39116.56857,6050147,21279,N/A,35.11441794,0.066943527,2112.960775,N/A,N/A
AE,GF,2022,14964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AE,GH,34537,2850,N/A,41637.04419,20647327,12695,N/A,56.93576992,0.232511163,6189.999236,N/A,N/A
AE,GM,19821,4194,N/A,43126.84398,7422823,19789,N/A,74.9834681,0.272708386,7498.91035,N/A,N/A
AE,GN,6952,7794,N/A,42856.04686,3000717,25085,N/A,83.41990177,0.306918651,7568.617845,N/A,N/A
AE,GP,1622,16814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AE,GQ,19685,4228,N/A,33695.16054,8414543,18993,N/A,68.57992258,N/A,5395.076526,N/A,N/A
AE,GR,15649,4918,N/A,23515.05134,945793,28625,N/A,24.92695189,0.01880461,3261.260804,29.419,2280
AE,GT,661,25124,N/A,39366.46399,6833497,20329,N/A,54.11687346,0.219230026,14237.22069,N/A,N/A
AE,GU,23907,3666,N/A,8126.79421,9603235,17885,N/A,14.31445698,N/A,N/A,N/A,N/A
AE,GW,4148,10270,N/A,43061.38643,7849607,19435,N/A,90.88941339,N/A,7463.095687,N/A,N/A
AE,GY,4391,10006,N/A,38860.35416,8987763,18477,N/A,57.49408575,0.181658209,11937.44282,N/A,N/A
AE,HK,13920,5304,N/A,4703.53098,2263129,26223,N/A,5.40397789,0.145716786,6053.969168,111,1320
AE,HN,1544,17228,N/A,41333.5796,24412,31043,N/A,62.6835589,0.195695311,14040.47902,N/A,N/A
AE,HR,3578,11098,N/A,28919.16497,5703029,21629,N/A,27.7237305,0.053364396,4164.338459,N/A,N/A
